date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2015-01-22,Korea Republic,Uzbekistan,1454.4347355519892,1545.780824945823,home_win,AFC Asian Cup
2015-01-23,Ghana,Algeria,1426.820862854037,1504.289270886106,home_win,African Cup of Nations
2015-01-23,IR Iran,Iraq,1495.406411919994,1473.5742835365513,draw,AFC Asian Cup
2015-01-23,South Africa,Senegal,1473.3852352645051,1536.6341919234399,draw,African Cup of Nations
2015-01-26,Korea Republic,Iraq,1485.860239829978,1475.1431670311256,home_win,AFC Asian Cup
2015-01-26,DR Congo,Tunisia,1501.019316319259,1542.621170867922,draw,African Cup of Nations
2015-01-27,Senegal,Algeria,1532.132681460283,1473.8055482420145,away_win,African Cup of Nations
2015-01-27,South Africa,Ghana,1477.886745727662,1457.3045854981283,away_win,African Cup of Nations
2015-01-31,Australia,Korea Republic,1391.2483779542727,1510.0893289417768,home_win,AFC Asian Cup
2015-02-01,Côte d'Ivoire,Algeria,1469.4052213426298,1502.9635340525836,home_win,African Cup of Nations
2015-02-04,DR Congo,Côte d'Ivoire,1503.9985854431839,1496.8124547218952,away_win,African Cup of Nations
2015-02-08,Côte d'Ivoire,Ghana,1522.3294646693334,1483.7838609236421,draw,African Cup of Nations
2015-02-08,United States,Panama,1487.2202261202217,1481.2263536870712,home_win,Friendly
2015-03-25,Germany,Australia,1667.6481185707858,1424.481075007569,draw,Friendly
2015-03-26,Qatar,Algeria,1523.9680714391777,1475.5563006733182,home_win,Friendly
2015-03-26,France,Brazil,1544.215392970378,1578.7086412023448,away_win,Friendly
2015-03-27,Korea Republic,Uzbekistan,1476.8566318884805,1514.3553206678343,draw,Friendly
2015-03-27,Japan,Tunisia,1497.379422309627,1539.641901743997,home_win,Kirin Challenge Cup
2015-03-28,Croatia,Norway,1445.9404129492568,1479.7040570004935,home_win,UEFA Euro qualification
2015-03-28,Ghana,Senegal,1486.5461163865714,1502.974695649714,away_win,Friendly
2015-03-28,Iraq,DR Congo,1450.9140779193267,1478.4815754957456,home_win,Friendly
2015-03-28,Morocco,Uruguay,1500.6466982508691,1517.919230903579,away_win,Friendly
2015-03-28,Netherlands,Türkiye,1577.692823643955,1474.947955858813,draw,UEFA Euro qualification
2015-03-30,Saudi Arabia,Jordan,1440.2698137671953,1396.7319137129498,home_win,Friendly
2015-03-31,Switzerland,United States,1456.9139187616402,1497.0477257168175,draw,Friendly
2015-03-31,Sweden,IR Iran,1483.5021180024507,1493.8375284254198,home_win,Friendly
2015-03-31,Portugal,Cabo Verde,1516.9620570743384,1503.108465400211,away_win,Friendly
2015-03-31,Netherlands,Spain,1572.6634256231655,1483.85801379979,home_win,Friendly
2015-03-31,Japan,Uzbekistan,1508.5898699678764,1513.2801930786547,home_win,Friendly
2015-03-31,Iraq,DR Congo,1461.705873335078,1467.6897800799943,home_win,Friendly
2015-03-31,Austria,Bosnia and Herzegovina,1500.2719234061137,1512.2597993173488,draw,Friendly
2015-03-31,Argentina,Ecuador,1569.8345241932564,1476.339660102399,home_win,Friendly
2015-03-31,Korea Republic,New Zealand,1477.93175947766,1480.5487800981673,home_win,Friendly
2015-04-15,United States,Mexico,1495.8976925357122,1525.3836534842558,home_win,Friendly
2015-06-03,Panama,Ecuador,1471.3988540904754,1468.967530561831,draw,Friendly
2015-06-05,Scotland,Qatar,1479.9318298512756,1532.583617147371,home_win,Friendly
2015-06-05,Netherlands,United States,1580.1616471770421,1506.7443350461901,away_win,Friendly
2015-06-06,Ecuador,Panama,1469.0375085359592,1471.3288761163471,home_win,Friendly
2015-06-07,Brazil,Mexico,1587.7190947097283,1514.5370109737778,home_win,Friendly
2015-06-07,France,Belgium,1535.2049394629944,1565.8395108034556,away_win,Friendly
2015-06-08,Norway,Sweden,1460.508747765335,1493.7995073097588,draw,Friendly
2015-06-10,Germany,United States,1661.6051326350384,1518.8265547316826,away_win,Friendly
2015-06-11,Japan,Iraq,1518.7248601184774,1471.8780869881277,home_win,Kirin Challenge Cup
2015-06-11,Uzbekistan,IR Iran,1503.1452029280538,1483.5401391181117,away_win,Friendly
2015-06-13,Argentina,Paraguay,1577.2066537338244,1487.8759125239756,draw,Copa América
2015-06-16,Argentina,Uruguay,1570.9167864494639,1527.422496612549,home_win,Copa América
2015-06-17,Brazil,Colombia,1595.6433528130497,1555.563404967264,away_win,Copa América
2015-06-19,Mexico,Ecuador,1506.6127528704565,1479.1034584402094,away_win,Copa América
2015-06-20,Uruguay,Paraguay,1505.5359151323787,1494.165779808336,draw,Copa América
2015-06-26,Argentina,Colombia,1592.803367929634,1583.434663633537,draw,Copa América
2015-06-27,Brazil,Paraguay,1567.7720941467767,1494.9836348626998,draw,Copa América
2015-06-30,Argentina,Paraguay,1592.1293988113518,1500.1458800628725,home_win,Copa América
2015-07-07,Panama,Haiti,1461.262926212097,1500.0,draw,Gold Cup
2015-07-10,United States,Haiti,1532.7193430457476,1497.224136185476,home_win,Gold Cup
2015-07-13,United States,Panama,1555.1741066330371,1464.038790026621,draw,Gold Cup
2015-07-22,Panama,Mexico,1470.450127653856,1479.6374261826877,away_win,Gold Cup
2015-07-25,United States,Panama,1548.762769005802,1446.11105288222,draw,Gold Cup
2015-08-05,Japan,Korea Republic,1527.3846139801065,1488.0070819615041,draw,EAFF Championship
2015-09-03,Belgium,Bosnia and Herzegovina,1574.9600549051659,1511.9148973724946,home_win,UEFA Euro qualification
2015-09-04,Portugal,France,1506.5635298402815,1526.0843953612841,away_win,Friendly
2015-09-06,Norway,Croatia,1461.4640111526592,1465.1357221844153,home_win,UEFA Euro qualification
2015-09-06,Türkiye,Netherlands,1479.9773538796026,1568.0794274915497,home_win,UEFA Euro qualification
2015-09-07,Scotland,Germany,1491.4357747020317,1647.7123443209734,away_win,UEFA Euro qualification
